Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mycobacterium tuberculosis strain CB03 chromosome, complete genome",Mycobacterium tuberculosis,1530,2906,27%,0.0,79.91,4374310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP159515.1?report=genbank&log$=nucltop&blast_rank=90&RID=V0G6801W016"",""CP159515.1"")"
"Mycobacterium tuberculosis strain UTB-3 chromosome, complete genome",Mycobacterium tuberculosis,1530,2922,28%,0.0,79.91,4411793,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP200025.1?report=genbank&log$=nucltop&blast_rank=91&RID=V0G6801W016"",""CP200025.1"")"
"Mycobacterium tuberculosis strain K30T0790 genome assembly, chromosome: I",Mycobacterium tuberculosis,1530,2900,27%,0.0,79.91,4427585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ347306.1?report=genbank&log$=nucltop&blast_rank=92&RID=V0G6801W016"",""OZ347306.1"")"
"Mycobacterium tuberculosis strain UTB-29 chromosome, complete genome",Mycobacterium tuberculosis,1530,2946,28%,0.0,79.91,4456003,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP200011.1?report=genbank&log$=nucltop&blast_rank=93&RID=V0G6801W016"",""CP200011.1"")"
"Mycobacterium tuberculosis strain 2-0026P6C4 chromosome, complete genome",Mycobacterium tuberculosis,1530,2906,27%,0.0,79.91,4438354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP180708.1?report=genbank&log$=nucltop&blast_rank=94&RID=V0G6801W016"",""CP180708.1"")"
"Mycobacterium tuberculosis strain CB01 chromosome, complete genome",Mycobacterium tuberculosis,1530,2906,27%,0.0,79.91,4370471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP159786.1?report=genbank&log$=nucltop&blast_rank=95&RID=V0G6801W016"",""CP159786.1"")"
Mycobacterium tuberculosis strain 5 chromosome,Mycobacterium tuberculosis,1530,2906,27%,0.0,79.91,4422517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP136201.1?report=genbank&log$=nucltop&blast_rank=96&RID=V0G6801W016"",""CP136201.1"")"
"Mycobacterium tuberculosis strain CA02 chromosome, complete genome",Mycobacterium tuberculosis,1530,2906,27%,0.0,79.91,4368694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP159543.1?report=genbank&log$=nucltop&blast_rank=97&RID=V0G6801W016"",""CP159543.1"")"
"Mycobacterium tuberculosis strain H-20-0024 chromosome, complete genome",Mycobacterium tuberculosis,1530,2952,28%,0.0,79.91,4445477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP157904.1?report=genbank&log$=nucltop&blast_rank=98&RID=V0G6801W016"",""CP157904.1"")"
"Mycobacterium tuberculosis variant caprae strain SY-1 chromosome, complete genome",Mycobacterium tuberculosis variant caprae,1530,2906,27%,0.0,79.91,4346248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP189862.1?report=genbank&log$=nucltop&blast_rank=99&RID=V0G6801W016"",""CP189862.1"")"
"Mycobacterium tuberculosis strain K25CTRC1 genome assembly, chromosome: I",Mycobacterium tuberculosis,1530,2906,27%,0.0,79.91,4441718,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ347326.1?report=genbank&log$=nucltop&blast_rank=100&RID=V0G6801W016"",""OZ347326.1"")"



		


